     CD       T1-61.0 m/s-VLM1    
   0.02476523         0.6441691  
   0.02520561         0.6525326  
   0.02565162         0.6608925  
   0.02610307         0.6692489  
   0.02655995         0.6776017  
   0.02702222         0.6859508  
   0.02749012         0.6942962  
   0.02796394         0.7026379  
   0.02844348         0.7109757  
   0.02892822         0.7193096  
   0.02941833         0.7276397  
   0.02991369         0.7359657  
   0.03041454         0.7442877  
   0.03092105         0.7526057  
   0.03143333         0.7609195  
   0.03195094         0.7692291  
   0.03247395         0.7775344  
   0.03300226         0.7858355  
   0.03353572         0.7941322  
   0.03407466         0.8024246  
   0.03461938         0.8107124  
   0.03516955         0.8189958  
   0.03572517         0.8272746  
   0.03628592         0.8355488  
   0.03685184         0.8438183  
   0.03742258         0.8520832  
   0.03799907         0.8603432  
   0.03858107         0.8685985  
   0.03916822         0.8768489  
   0.03976147         0.8850943  
    0.0403594         0.8933348  
    0.0409628         0.9015703  
   0.04157128         0.9098006  
   0.04218616         0.9180259  
    0.0428062          0.926246  
   0.04343133         0.9344608  
   0.04406244         0.9426704  
   0.04469902         0.9508746  
   0.04534072         0.9590735  
   0.04598756         0.9672669  
   0.04664001         0.9754548  
   0.04729786         0.9836372  
   0.04796113          0.991814  
   0.04862994         0.9999852  
   0.04930382          1.008151  
   0.04998402           1.01631  
   0.05066966          1.024464  
   0.05136064          1.032612  
   0.05205713          1.040755  
   0.05275878          1.048891  
   0.05346501          1.057021  
   0.05417701          1.065146  
   0.05489549          1.073264  
   0.05561911          1.081376  
   0.05634786          1.089482  
   0.05708099          1.097581  
   0.05781949          1.105675  
   0.05856238          1.113762  
   0.05931111          1.121842  
   0.06006494          1.129916  
   0.06082472          1.137984  
   0.06158968          1.146045  
   0.06235923            1.1541  
   0.06313314          1.162148  
   0.06391279          1.170189  
   0.06469867          1.178223  
   0.06548946          1.186251  
   0.06628412          1.194272  
   0.06708349          1.202286  
   0.06788823          1.210293  
   0.06869854          1.218294  
    0.0695146          1.226287  
   0.07033559          1.234273  
   0.07116164          1.242252  
   0.07199362          1.250224  
   0.07283063          1.258188  
   0.07367249          1.266146  
   0.07451889          1.274096  
   0.07537135          1.282038  
   0.07623117          1.289974  
   0.07709607          1.297902  
   0.07796442          1.305822  
   0.07883781          1.313735  
    0.0797166           1.32164  
   0.08060381          1.329538  
   0.08149718          1.337428  
   0.08239625           1.34531  
   0.08329924          1.353185  
   0.08421024          1.361051  
   0.08512952           1.36891  
   0.08605533          1.376761  
   0.08698747          1.384604  
   0.08792385          1.392439  
    0.0888691          1.400266  
   0.09077731          1.415896  
    0.0927088          1.431492  
   0.09467356          1.447056  
   0.09666193          1.462587  
   0.09868349          1.478084  
    0.1007308          1.493546  
    0.1028095          1.508974  
    0.1049324          1.524368  
    0.1070789          1.539726  
    0.1092764          1.555049  
    0.1115158          1.570336  
    0.1138072          1.585586  
    0.1161618          1.600801  
    0.1185792          1.615978  
    0.1210847          1.631118  
    0.1236998          1.646221  
    0.1264432          1.661286  
    0.1293722          1.676313  
